Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
TF-IDF + LogReg,Tweet Irony,123,0.25,0.5510204081632653,0.5330016583747927,0.430311918258667,0.0002684593200683594,
TF-IDF + SVM,Tweet Irony,123,0.25,0.5535714285714286,0.5379849137931034,0.25921630859375,0.00021409988403320312,
TextCNN,Tweet Irony,123,0.25,0.5280612244897959,0.5011796427367712,0.40476536750793457,0.017621755599975586,645126.0
DistilBERT,Tweet Irony,123,0.25,0.6492346938775511,0.6308415135497945,17.515079498291016,0.49599385261535645,66955010.0
RoBERTa,Tweet Irony,123,0.25,0.49107142857142855,0.4794789064956978,34.66884899139404,0.8702719211578369,124647170.0
TF-IDF + LogReg,Tweet Irony,456,0.25,0.5727040816326531,0.5699269838722618,0.4950892925262451,0.00030803680419921875,
TF-IDF + SVM,Tweet Irony,456,0.25,0.5663265306122449,0.5602713331749676,0.26781368255615234,0.00027108192443847656,
TextCNN,Tweet Irony,456,0.25,0.5510204081632653,0.5304750238192459,0.48290061950683594,0.0174105167388916,643846.0
DistilBERT,Tweet Irony,456,0.25,0.6301020408163265,0.6199721865639709,17.085737943649292,0.500338077545166,66955010.0
RoBERTa,Tweet Irony,456,0.25,0.5293367346938775,0.5274909963985595,34.848774909973145,0.8654623031616211,124647170.0
TF-IDF + LogReg,Tweet Irony,42,0.1,0.5727040816326531,0.5633081766653198,0.3336153030395508,0.00028443336486816406,
TF-IDF + SVM,Tweet Irony,42,0.1,0.5727040816326531,0.5639635750869533,0.2198925018310547,0.00023484230041503906,
TextCNN,Tweet Irony,42,0.1,0.5650510204081632,0.5492026770222259,0.5118408203125,0.016988515853881836,377990.0
DistilBERT,Tweet Irony,42,0.1,0.5535714285714286,0.5315455582187806,13.695630550384521,0.4979226589202881,66955010.0
RoBERTa,Tweet Irony,42,0.1,0.5267857142857143,0.46470065351778816,23.63245463371277,0.8743042945861816,124647170.0
SetFit,Tweet Irony,42,0.1,0.5637755102040817,0.5481039538881585,28.688340425491333,0.25554561614990234,22713216.0
TF-IDF + LogReg,Tweet Irony,123,0.1,0.5408163265306123,0.5269984917043741,0.381270170211792,0.0002791881561279297,
TF-IDF + SVM,Tweet Irony,123,0.1,0.5408163265306123,0.5265700483091788,0.23090028762817383,0.00022530555725097656,
TextCNN,Tweet Irony,123,0.1,0.5688775510204082,0.5588848271775101,0.5609965324401855,0.017172813415527344,389126.0
DistilBERT,Tweet Irony,123,0.1,0.5561224489795918,0.5368318122555411,16.73860764503479,0.5077848434448242,66955010.0
RoBERTa,Tweet Irony,123,0.1,0.4961734693877551,0.4591979826450192,38.34672451019287,0.8645687103271484,124647170.0
SetFit,Tweet Irony,123,0.1,0.5854591836734694,0.57534394973459,28.604966640472412,0.25595808029174805,22713216.0
TF-IDF + LogReg,Tweet Irony,456,0.1,0.5446428571428571,0.5399718941840684,0.3325538635253906,0.00023627281188964844,
TF-IDF + SVM,Tweet Irony,456,0.1,0.5395408163265306,0.5326791396081112,0.21606040000915527,0.00024080276489257812,
TextCNN,Tweet Irony,456,0.1,0.5535714285714286,0.5529167942961046,0.3953366279602051,0.017436742782592773,382854.0
DistilBERT,Tweet Irony,456,0.1,0.5522959183673469,0.5456243157962521,11.723295450210571,0.49737119674682617,66955010.0
RoBERTa,Tweet Irony,456,0.1,0.5625,0.4676011443391837,31.904093980789185,0.8687188625335693,124647170.0
SetFit,Tweet Irony,456,0.1,0.5880102040816326,0.5798896769109535,28.64846706390381,0.2539334297180176,22713216.0
TF-IDF + LogReg,Tweet Irony,42,0.05,0.5395408163265306,0.5317699415175654,0.31517791748046875,0.0002663135528564453,
TF-IDF + SVM,Tweet Irony,42,0.05,0.5382653061224489,0.5264183687091176,0.2144303321838379,0.00023603439331054688,
TextCNN,Tweet Irony,42,0.05,0.49107142857142855,0.481411853642282,0.30386948585510254,0.017181396484375,281862.0
DistilBERT,Tweet Irony,42,0.05,0.43112244897959184,0.37856513208405607,20.403573036193848,0.5021984577178955,66955010.0
